Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5BPpMjVqRjTQdjo772YKPn,"Never Surrender","Making Monsters","Combichrist",2010-08-27,288493,43,false,vicho-x,2026-04-24T18:07:05Z,"industrial,ebm,metal industrial,rock industrial,dark wave","Out of Line Music",0.695,0.699,2,-7.813,1,0.0827,0.0146,0.0222,0.106,0.208,135.017,4
spotify:track:2MC5MLUdhrVUWGHUFHvaLF,"Wollt ihr das Bett in Flammen sehen","Herzeleid (Remastered 2020)","Rammstein",1995-09-24,315850,62,false,vicho-x,2026-04-24T18:10:57Z,"metal industrial,metal,rock industrial,industrial","Vertigo Berlin",0.673,0.766,2,-7.342,1,0.0394,0.0000237,0.673,0.699,0.641,129.928,4
spotify:track:3lf7pbTrVIG5mEzdbN12md,"Soy","Estigmas","Fantastico Hombre Bala",2011-01-25,251266,6,false,vicho-x,2026-04-24T18:38:42Z,"","Parlophone Spain",0.376,0.972,5,-4.354,1,0.066,0.0168,0.00202,0.36,0.346,99.211,4
spotify:track:5tyddXAxVk8U39sq4zUFCQ,"Gott ist ein Popstar","GlaubeLiebeTod","OOMPH!",2006,234626,46,false,vicho-x,2026-04-24T18:12:27Z,"metal industrial,rock industrial,industrial,ebm,metal medieval","Gun",0.631,0.973,2,-3.346,1,0.0441,0.0026,0.0000664,0.128,0.627,122.999,4
spotify:track:3SWHe1kxmo725pWO3Rsyl6,"Radio Paranoia","Noise Diary","Rabia Sorda",2009-09-25,284133,22,false,vicho-x,2026-04-24T18:12:55Z,"ebm,industrial,metal industrial,rock industrial,dark wave","Out of Line Music",0.367,0.95,4,-6.915,1,0.0667,0.000345,0.0187,0.068,0.272,161.014,4
spotify:track:42COu0u76ahdsby0hKfMPH,"Was ist hier los?","Sturmfahrt","Eisbrecher",2017-08-18,212506,54,false,vicho-x,2026-04-24T18:14:44Z,"metal industrial,industrial,rock industrial,metal medieval,ebm","Ariola/Hansa Local",0.643,0.933,0,-4.259,1,0.0327,0.00112,0.00227,0.472,0.656,123.021,4
spotify:track:7a84fbvkMOD6tiQGCNLXOP,"Get Your Body Beat","What the Fuck is Wrong With You People?","Combichrist",2007-03-02,289560,45,true,vicho-x,2026-04-24T18:16:10Z,"industrial,ebm,metal industrial,rock industrial,dark wave","Out of Line Music",0.609,0.996,0,-4.701,1,0.0598,0.0275,0.0218,0.265,0.385,119.986,4
spotify:track:4JbNEigPV9GAFHO5uJFkGl,"Arrepentido - Remastered 2023","Paradÿsso (Edición 20º Aniversario)","Sôber",2023-08-24,230133,17,false,vicho-x,2026-04-24T18:36:42Z,"","Universal Music Spain S.L.",0.604,0.63,11,-6.026,0,0.0287,0.00452,0.0000557,0.243,0.595,104.993,4
spotify:track:3Q70zeuBGJzhCOtzeBXoPS,"Zwitter","Mutter","Rammstein",2001-04-02,257493,57,false,vicho-x,2026-04-24T18:18:16Z,"metal industrial,metal,rock industrial,industrial","Vertigo Berlin",0.467,0.968,2,-3.991,1,0.0877,0.00000916,0.757,0.331,0.354,160.17,4
spotify:track:6Nm8h73ycDG2saCnZV8poF,"Dragula","Hellbilly Deluxe","Rob Zombie",1998-01-01,222826,82,false,vicho-x,2026-04-24T18:18:47Z,"metal industrial,rock industrial,metal alternativo,metal,nu metal","Geffen",0.59,0.963,0,-6.489,0,0.0676,0.0000875,0.000105,0.0781,0.586,125.033,4
spotify:track:6O7pihLJgeqxUnG7u9oYL2,"Push It","Wisconsin Death Trip","Static-X",1999,154906,69,false,vicho-x,2026-04-24T18:18:56Z,"metal industrial,nu metal,rock industrial,industrial,rap metal,metal,metal alternativo","Warner Records",0.557,0.978,0,-3.965,1,0.0493,0.000393,0.00000442,0.287,0.499,149.887,4
spotify:track:1pr9TZGOXeJUggIal1Wq3R,"Blind","Korn","Korn",1994-10-11,258266,81,false,vicho-x,2026-04-24T18:22:21Z,"nu metal,metal,rap metal,metal alternativo","Immortal/Epic",0.283,0.891,2,-8.165,1,0.178,0.00678,0.0038,0.159,0.226,92.049,4
spotify:track:27ce3PuoDdndLsktG0RvfV,"Blood","Rise of the Blood Legion- The Best of (Chapter 1)","In This Moment",2015-05-05,207746,50,true,vicho-x,2026-04-24T18:26:03Z,"metal","Century Media",0.533,0.958,9,-2.735,0,0.158,0.0153,0,0.4,0.505,140.055,4
spotify:track:09VaRXynySDWbahfxioD14,"Rip & Tear","DOOM (Original Game Soundtrack)","Mick Gordon",2016-09-28,257734,66,false,vicho-x,2026-04-24T18:26:53Z,"","id Software",0.491,0.883,9,-8.695,1,0.0758,0.000641,0.803,0.174,0.136,107.997,4
spotify:track:1F6pbmmkQ958etpaHuKX8h,"J.F.","Revolución 12.111","Hamlet",1996-01-01,292972,32,false,vicho-x,2026-04-24T18:37:20Z,"groove metal,nu metal,rap metal","Mushroom Pillow",0.434,0.966,5,-5.918,1,0.13,0.000283,0.0000295,0.0811,0.497,80.348,4
